TERRAIN,FLAT,UNSKIIABLE,OVERRIDE,RESULT,MAP PACK,REVIEW
Scarabrae_nef.ter,Yes,,,Reject,Classic Patch (2002),
ShockRidge.ter,No,Yes,,Reject,Classic Patch (2002),not a fan of these canyon levels
Sirocco.ter,Yes,,,Reject,Dynamix Original (2001),
SkinnyDip.ter,Trace,No,,Accept,Classic Patch (2002),really wanted to use one of the TR2 maps. This has a big scale but also nice hills
Slapdash.ter,Yes,,,Reject,Dynamix Original (2001),
Snowblind_nef.ter,Trace,Yes,,Reject,Classic Patch (2002),already knew this is a bad idea before I even started
SolsDescent.ter,Yes,,,Reject,Classic Patch (2002),
SpinCycle.ter,No,No,,Accept,Discord Map Pack (2020),this was borderline rejected
StarFallCTF2.ter,Trace,No,,Accept,Discord Map Pack (2020),
Starfallen.ter,Trace,No,,Accept,Classic Patch (2002),
Stonehenge_nef.ter,No,Yes,,Reject,Classic Patch (2002),kryand tried to tell me this was a skiiable terrain. so I put the flags in different places. he no longer believes it's a skiiable terrain
SubZero.ter,Trace,Yes,,Reject,Classic Patch (2002),
SunDried.ter,Yes,,,Reject,Dynamix Original (2001),
Surreal.ter,Trace,Yes,,Reject,Classic Patch (2002),
Talus.ter,Trace,Yes,,Reject,Dynamix Original (2001),
ThinIce.ter,Yes,,,Reject,Dynamix Original (2001),
Titan.ter,Trace,Yes,,Reject,Classic Patch (2002),why did I even open this. probably not stupid enough as a terrain choice for april fools
TL_Drorck.ter,No,No,,Accept,TWL2 Map Pack (2007),
TL_Magnum.ter,No,No,Yes,Reject,TWL2 Map Pack (2007),the best route is “discjump and keep landing on the flat parts at the top” – this is not compelling gameplay
TL_MuddySwamp.ter,Yes,,,Reject,TWL2 Map Pack (2007),
TL_RoughLand.ter,No,No,,Accept,TWL2 Map Pack (2007),this is kinda a finicky terrain but it works
TL_Skylight.ter,Trace,Yes,,Superhard,TWL2 Map Pack (2007),
Tombstone.ter,No,No,,Accept,Dynamix Original (2001),
Training1.ter,Yes,,,Reject,Dynamix Original (2001),
Training2.ter,Yes,,,Reject,Dynamix Original (2001),
Training3.ter,Yes,,,Reject,Dynamix Original (2001),
Training4.ter,Yes,,,Reject,Dynamix Original (2001),
Training5.ter,Trace,Likely,Yes,Reject,Dynamix Original (2001),Terrain is WAY too dark and you can't tell features on it.
TreasureIsland.ter,Yes,,,Reject,Classic Patch (2002),
TWL_Crossfire.ter,Yes,,,Reject,TWL Map Pack (2003),
TWL-Abaddon.ter,No,Yes,,Reject,TWL Map Pack (2003),
TWL-BaNsHee.ter,Yes,,,Reject,TWL Map Pack (2003),
TWL-BeachBlitz.ter,Trace,No,,Accept,TWL Map Pack (2003),
TWL-BeggarsRun.ter,No,Yes,,Reject,TWL Map Pack (2003),
TWL-BlueMoon.ter,Yes,,,Reject,TWL Map Pack (2003),
TWL-Boss.ter,No,No,,Accept,TWL Map Pack (2003),this level is acceptable
TWL-Chokepoint.ter,Trace,Yes,,Reject,TWL Map Pack (2003),
TWL-Cinereous.ter,Trace,No,,Accept,TWL Map Pack (2003),
TWL-Clusterfuct.ter,No,Yes,,Reject,TWL Map Pack (2003),
TWL-Curtilage.ter,Yes,,,Reject,TWL Map Pack (2003),
TWL-Damnation.ter,Trace,No,,Accept,TWL Map Pack (2003),
TWL-DeadlyBirdsSong.ter,Yes,,,Reject,TWL Map Pack (2003),DBS_Smoothed.ter
TWL-Deserted.ter,Trace,No,,Accept,TWL Map Pack (2003),
TWL-Desiccator.ter,No,Yes,,Reject,TWL Map Pack (2003),
TWL-Drifts.ter,Trace,Likely,Yes,Reject,TWL Map Pack (2003),there's nothing really to this map outside the mission bounds
TWL-Euro_Feign.ter,No,Yes,,Reject,TWL Map Pack (2003),come on man
TWL-Frostclaw.ter,No,Yes,,Reject,TWL Map Pack (2003),
TWL-Frozen.ter,No,No,,Accept,TWL Map Pack (2003),
TWL-Harvester.ter,No,No,,Accept,TWL Map Pack (2003),why did I take this one
TWL-Horde.ter,Yes,,,Reject,TWL Map Pack (2003),
TWL-Katabatic.ter,Yes,Yes,,Superhard,TWL Map Pack (2003),oob still bad. this was accepted into april fools because you always need a katabatic joke somewhere
TWL-Neve.ter,Yes,,,Reject,TWL Map Pack (2003),it's trace amounts but they're in places you would probably do routes
TWL-NoShelter.ter,Yes,,,Reject,TWL Map Pack (2003),
TWL-Os_Iris.ter,Trace,No,,Accept,TWL Map Pack (2003),
TWL-Pandemonium.ter,No,No,,Accept,TWL Map Pack (2003),
TWL-Runenmacht.ter,Trace,Yes,,Reject,TWL Map Pack (2003),nah
TWL-Slapdash.ter,Yes,,,Reject,TWL Map Pack (2003),crapdash
TWL-SubZero.ter,No,Yes,,Reject,TWL Map Pack (2003),
TWL-WilderZone.ter,Trace,No,,Accept,TWL Map Pack (2003),
TWL-WoodyMyrk.ter,Duplicate,Duplicate,,Duplicate,TWL Map Pack (2003),
TWL2_Crevice.ter,No,No,,Accept,TWL2 Map Pack (2007),
TWL2_Frozenglory.ter,No,No,,Accept,TWL2 Map Pack (2007),
TWL2_Ruined.ter,Yes,No,,Reject,TWL2 Map Pack (2007),looks like a decent terrain but isn’t
Tyre.ter,Yes,Yes,,Reject,Discord Map Pack (2020),
UltimaThule.ter,Trace,Yes,,Reject,Dynamix Original (2001),
Underhill.ter,Trace,Yes,,Reject,Dynamix Original (2001),
Wasteland.ter,No,No,,Accept,Discord Map Pack (2020),whatever sure
WhiteDwarf.ter,Trace,Yes,,Reject,Classic Patch (2002),
Whiteout.ter,No,Yes,,Reject,Dynamix Original (2001),
WoodyMyrkSE.ter,No,No,,Accept,TWL2 Map Pack (2007),
Xtra_AshenPowder.ter,Trace,No,Yes,Reject,Discord Map Pack (2020),can’t read that fucking terrain so i’m removing
Xtra_Bastage.ter,Trace,No,,Accept,Discord Map Pack (2020),
Xtra_Birthright.ter,No,Yes,,Reject,Discord Map Pack (2020),
Xtra_Crown.ter,Trace,Yes,,Reject,Discord Map Pack (2020),
Xtra_DesertedSE.ter,Trace,Yes,,Reject,Discord Map Pack (2020),This is a VERY jagged terrain.
Xtra_Helion.ter,Likely,No,Yes,Reject,Discord Map Pack (2020),this is just a really boring terrain
Xtra_SoupLadle.ter,No,No,,Accept,Discord Map Pack (2020),
Xtra_StarFall_T1.ter,Yes,,,Reject,Discord Map Pack (2020),
Xtra_Stripmine.ter,Yes,Yes,,Superhard,Discord Map Pack (2020),
Xtra_ThunderGiant.ter,Duplicate,Duplicate,,Duplicate,Discord Map Pack (2020),duplicate of IceGiant
Xtra_VanDamned.ter,No,No,,Accept,Discord Map Pack (2020),
Xtra_Voodoo.ter,No,Yes,,Reject,Discord Map Pack (2020),
Xtra_Xerxes.ter,Likely,Yes,,Reject,Discord Map Pack (2020),
Xtra_ziggurat.ter,Yes,,,Reject,Discord Map Pack (2020),
